,Serial Number,Timestamp,deltaT,day,month,hour,date,year
4256,4257,2018-11-06 09:17:13-07:00,,6,11,9,2018-11-06,2018
4255,4256,2018-11-06 09:19:00-07:00,0 days 00:01:47,6,11,9,2018-11-06,2018
4254,4255,2018-11-06 09:19:20-07:00,0 days 00:00:20,6,11,9,2018-11-06,2018
4253,4254,2019-01-07 23:46:21-07:00,62 days 14:27:01,7,1,23,2019-01-07,2019
4252,4253,2019-01-07 23:52:05-07:00,0 days 00:05:44,7,1,23,2019-01-07,2019
4251,4252,2019-01-07 23:52:16-07:00,0 days 00:00:11,7,1,23,2019-01-07,2019
4250,4251,2019-01-08 00:09:47-07:00,0 days 00:17:31,8,1,0,2019-01-08,2019
4249,4250,2019-01-08 15:20:40-07:00,0 days 15:10:53,8,1,15,2019-01-08,2019
4248,4249,2021-01-15 01:39:46-07:00,737 days 10:19:06,15,1,1,2021-01-15,2021
4247,4248,2021-02-03 23:26:14-07:00,19 days 21:46:28,3,2,23,2021-02-03,2021
4246,4247,2021-02-03 23:26:21-07:00,0 days 00:00:07,3,2,23,2021-02-03,2021
4245,4246,2021-02-03 23:26:28-07:00,0 days 00:00:07,3,2,23,2021-02-03,2021
4244,4245,2021-02-05 09:33:00-07:00,1 days 10:06:32,5,2,9,2021-02-05,2021
4243,4244,2021-02-05 09:33:17-07:00,0 days 00:00:17,5,2,9,2021-02-05,2021
4242,4243,2021-02-05 10:03:21-07:00,0 days 00:30:04,5,2,10,2021-02-05,2021
4241,4242,2021-02-05 10:04:05-07:00,0 days 00:00:44,5,2,10,2021-02-05,2021
4240,4241,2021-02-05 10:15:54-07:00,0 days 00:11:49,5,2,10,2021-02-05,2021
4239,4240,2021-02-05 21:56:59-07:00,0 days 11:41:05,5,2,21,2021-02-05,2021
4238,4239,2021-02-10 00:48:07-07:00,4 days 02:51:08,10,2,0,2021-02-10,2021
4237,4238,2021-02-10 00:48:22-07:00,0 days 00:00:15,10,2,0,2021-02-10,2021
4236,4237,2021-02-10 00:48:53-07:00,0 days 00:00:31,10,2,0,2021-02-10,2021
4235,4236,2021-02-12 00:18:22-07:00,1 days 23:29:29,12,2,0,2021-02-12,2021
4234,4235,2021-02-12 22:26:37-07:00,0 days 22:08:15,12,2,22,2021-02-12,2021
4233,4234,2021-02-13 01:17:48-07:00,0 days 02:51:11,13,2,1,2021-02-13,2021
4232,4233,2021-02-15 09:27:11-07:00,2 days 08:09:23,15,2,9,2021-02-15,2021
4231,4232,2021-02-15 09:41:17-07:00,0 days 00:14:06,15,2,9,2021-02-15,2021
4230,4231,2021-02-15 09:58:00-07:00,0 days 00:16:43,15,2,9,2021-02-15,2021
4229,4230,2021-02-15 10:02:49-07:00,0 days 00:04:49,15,2,10,2021-02-15,2021
4228,4229,2021-02-15 10:22:22-07:00,0 days 00:19:33,15,2,10,2021-02-15,2021
4227,4228,2021-02-18 08:25:48-07:00,2 days 22:03:26,18,2,8,2021-02-18,2021
4226,4227,2021-02-18 08:44:26-07:00,0 days 00:18:38,18,2,8,2021-02-18,2021
4225,4226,2021-02-18 08:45:02-07:00,0 days 00:00:36,18,2,8,2021-02-18,2021
4224,4225,2021-02-18 08:45:16-07:00,0 days 00:00:14,18,2,8,2021-02-18,2021
4223,4224,2021-02-18 08:45:29-07:00,0 days 00:00:13,18,2,8,2021-02-18,2021
4222,4223,2021-02-18 10:21:07-07:00,0 days 01:35:38,18,2,10,2021-02-18,2021
4221,4222,2022-02-13 04:30:05-07:00,359 days 18:08:58,13,2,4,2022-02-13,2022
4220,4221,2022-03-20 00:05:41-07:00,34 days 19:35:36,20,3,0,2022-03-20,2022
4219,4220,2022-03-21 01:06:14-07:00,1 days 01:00:33,21,3,1,2022-03-21,2022
4218,4219,2022-03-21 01:07:30-07:00,0 days 00:01:16,21,3,1,2022-03-21,2022
4217,4218,2022-03-21 01:11:00-07:00,0 days 00:03:30,21,3,1,2022-03-21,2022
4216,4217,2022-03-21 01:22:33-07:00,0 days 00:11:33,21,3,1,2022-03-21,2022
4215,4216,2022-03-21 01:38:05-07:00,0 days 00:15:32,21,3,1,2022-03-21,2022
4214,4215,2022-03-21 01:40:07-07:00,0 days 00:02:02,21,3,1,2022-03-21,2022
4213,4214,2022-04-22 11:26:51-07:00,32 days 09:46:44,22,4,11,2022-04-22,2022
4212,4213,2022-04-23 19:55:10-07:00,1 days 08:28:19,23,4,19,2022-04-23,2022
4211,4212,2022-04-27 09:02:15-07:00,3 days 13:07:05,27,4,9,2022-04-27,2022
4210,4211,2022-04-27 09:02:23-07:00,0 days 00:00:08,27,4,9,2022-04-27,2022
4209,4210,2022-04-27 09:02:27-07:00,0 days 00:00:04,27,4,9,2022-04-27,2022
4208,4209,2022-04-27 09:02:34-07:00,0 days 00:00:07,27,4,9,2022-04-27,2022
4207,4208,2022-04-27 22:05:23-07:00,0 days 13:02:49,27,4,22,2022-04-27,2022
4206,4207,2022-04-27 22:05:39-07:00,0 days 00:00:16,27,4,22,2022-04-27,2022
4205,4206,2022-04-28 00:00:29-07:00,0 days 01:54:50,28,4,0,2022-04-28,2022
4204,4205,2022-04-28 00:00:58-07:00,0 days 00:00:29,28,4,0,2022-04-28,2022
4203,4204,2022-04-28 00:01:41-07:00,0 days 00:00:43,28,4,0,2022-04-28,2022
4202,4203,2022-04-28 02:14:14-07:00,0 days 02:12:33,28,4,2,2022-04-28,2022
4201,4202,2022-04-28 02:14:19-07:00,0 days 00:00:05,28,4,2,2022-04-28,2022
4200,4201,2022-04-28 02:14:25-07:00,0 days 00:00:06,28,4,2,2022-04-28,2022
4199,4200,2022-04-28 02:17:28-07:00,0 days 00:03:03,28,4,2,2022-04-28,2022
4198,4199,2022-04-28 10:06:49-07:00,0 days 07:49:21,28,4,10,2022-04-28,2022
