year,month,day,hour,date,weekday
2020,12,7,16,2020-12-07,Monday
2020,12,7,16,2020-12-07,Monday
2020,12,7,16,2020-12-07,Monday
2020,12,7,16,2020-12-07,Monday
2020,12,7,16,2020-12-07,Monday
2020,12,7,16,2020-12-07,Monday
2020,12,7,17,2020-12-07,Monday
2020,12,7,17,2020-12-07,Monday
2020,12,7,18,2020-12-07,Monday
2020,12,7,20,2020-12-07,Monday
2020,12,7,23,2020-12-07,Monday
2020,12,7,23,2020-12-07,Monday
2020,12,7,23,2020-12-07,Monday
2020,12,8,0,2020-12-08,Tuesday
2020,12,8,0,2020-12-08,Tuesday
2020,12,8,9,2020-12-08,Tuesday
2020,12,8,13,2020-12-08,Tuesday
2020,12,8,23,2020-12-08,Tuesday
2020,12,9,0,2020-12-09,Wednesday
2020,12,9,1,2020-12-09,Wednesday
2020,12,9,1,2020-12-09,Wednesday
2020,12,9,1,2020-12-09,Wednesday
2020,12,9,1,2020-12-09,Wednesday
2020,12,9,1,2020-12-09,Wednesday
2020,12,9,1,2020-12-09,Wednesday
2020,12,9,1,2020-12-09,Wednesday
2020,12,9,9,2020-12-09,Wednesday
2020,12,9,12,2020-12-09,Wednesday
2020,12,9,12,2020-12-09,Wednesday
2020,12,9,12,2020-12-09,Wednesday
2020,12,9,12,2020-12-09,Wednesday
2020,12,9,12,2020-12-09,Wednesday
2020,12,9,12,2020-12-09,Wednesday
2020,12,9,12,2020-12-09,Wednesday
2020,12,9,13,2020-12-09,Wednesday
2020,12,9,13,2020-12-09,Wednesday
2020,12,9,13,2020-12-09,Wednesday
2020,12,9,14,2020-12-09,Wednesday
2020,12,9,14,2020-12-09,Wednesday
2020,12,9,15,2020-12-09,Wednesday
2020,12,9,15,2020-12-09,Wednesday
2020,12,9,15,2020-12-09,Wednesday
2020,12,9,15,2020-12-09,Wednesday
2020,12,9,15,2020-12-09,Wednesday
2020,12,9,15,2020-12-09,Wednesday
2020,12,9,15,2020-12-09,Wednesday
2020,12,9,15,2020-12-09,Wednesday
2020,12,9,16,2020-12-09,Wednesday
2020,12,9,17,2020-12-09,Wednesday
2020,12,9,17,2020-12-09,Wednesday
2020,12,9,18,2020-12-09,Wednesday
2020,12,9,18,2020-12-09,Wednesday
2020,12,9,22,2020-12-09,Wednesday
2020,12,9,22,2020-12-09,Wednesday
2020,12,9,23,2020-12-09,Wednesday
2020,12,10,0,2020-12-10,Thursday
2020,12,10,0,2020-12-10,Thursday
2020,12,10,0,2020-12-10,Thursday
2020,12,10,1,2020-12-10,Thursday
2020,12,10,1,2020-12-10,Thursday
2020,12,10,1,2020-12-10,Thursday
2020,12,10,1,2020-12-10,Thursday
2020,12,10,1,2020-12-10,Thursday
2020,12,10,1,2020-12-10,Thursday
2020,12,10,1,2020-12-10,Thursday
2020,12,10,9,2020-12-10,Thursday
2020,12,10,9,2020-12-10,Thursday
2020,12,10,9,2020-12-10,Thursday
2020,12,10,9,2020-12-10,Thursday
2020,12,10,9,2020-12-10,Thursday
2020,12,10,9,2020-12-10,Thursday
2020,12,10,13,2020-12-10,Thursday
2020,12,10,13,2020-12-10,Thursday
2020,12,10,13,2020-12-10,Thursday
2020,12,10,15,2020-12-10,Thursday
2020,12,10,15,2020-12-10,Thursday
2020,12,11,9,2020-12-11,Friday
2020,12,11,9,2020-12-11,Friday
2020,12,11,9,2020-12-11,Friday
2020,12,11,11,2020-12-11,Friday
2020,12,11,11,2020-12-11,Friday
2020,12,11,11,2020-12-11,Friday
2020,12,11,12,2020-12-11,Friday
2020,12,11,12,2020-12-11,Friday
2020,12,11,12,2020-12-11,Friday
2020,12,11,12,2020-12-11,Friday
2020,12,11,18,2020-12-11,Friday
2020,12,11,18,2020-12-11,Friday
2020,12,11,18,2020-12-11,Friday
2020,12,11,18,2020-12-11,Friday
2020,12,11,19,2020-12-11,Friday
2020,12,11,19,2020-12-11,Friday
2020,12,11,20,2020-12-11,Friday
2020,12,11,23,2020-12-11,Friday
2020,12,12,0,2020-12-12,Saturday
2020,12,12,0,2020-12-12,Saturday
2020,12,12,0,2020-12-12,Saturday
2020,12,12,0,2020-12-12,Saturday
2020,12,12,0,2020-12-12,Saturday
2020,12,12,1,2020-12-12,Saturday
2020,12,12,1,2020-12-12,Saturday
2020,12,12,1,2020-12-12,Saturday
2020,12,12,2,2020-12-12,Saturday
2020,12,12,12,2020-12-12,Saturday
2020,12,12,12,2020-12-12,Saturday
2020,12,12,12,2020-12-12,Saturday
2020,12,12,13,2020-12-12,Saturday
2020,12,12,13,2020-12-12,Saturday
2020,12,12,13,2020-12-12,Saturday
2020,12,12,13,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,14,2020-12-12,Saturday
2020,12,12,15,2020-12-12,Saturday
2020,12,12,16,2020-12-12,Saturday
2020,12,12,16,2020-12-12,Saturday
2020,12,12,17,2020-12-12,Saturday
2020,12,12,17,2020-12-12,Saturday
2020,12,12,17,2020-12-12,Saturday
2020,12,12,18,2020-12-12,Saturday
2020,12,12,18,2020-12-12,Saturday
2020,12,12,18,2020-12-12,Saturday
2020,12,12,20,2020-12-12,Saturday
2020,12,13,1,2020-12-13,Sunday
2020,12,13,1,2020-12-13,Sunday
2020,12,13,1,2020-12-13,Sunday
2020,12,13,1,2020-12-13,Sunday
2020,12,13,1,2020-12-13,Sunday
2020,12,13,1,2020-12-13,Sunday
2020,12,13,1,2020-12-13,Sunday
2020,12,13,1,2020-12-13,Sunday
2020,12,13,1,2020-12-13,Sunday
2020,12,13,2,2020-12-13,Sunday
2020,12,13,2,2020-12-13,Sunday
2020,12,13,2,2020-12-13,Sunday
2020,12,13,2,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,13,2020-12-13,Sunday
2020,12,13,14,2020-12-13,Sunday
2020,12,13,14,2020-12-13,Sunday
2020,12,13,14,2020-12-13,Sunday
2020,12,13,14,2020-12-13,Sunday
2020,12,13,14,2020-12-13,Sunday
2020,12,13,15,2020-12-13,Sunday
2020,12,13,15,2020-12-13,Sunday
2020,12,13,15,2020-12-13,Sunday
2020,12,13,15,2020-12-13,Sunday
2020,12,13,15,2020-12-13,Sunday
2020,12,13,15,2020-12-13,Sunday
2020,12,13,15,2020-12-13,Sunday
2020,12,13,15,2020-12-13,Sunday
2020,12,13,15,2020-12-13,Sunday
2020,12,13,16,2020-12-13,Sunday
2020,12,13,16,2020-12-13,Sunday
2020,12,13,16,2020-12-13,Sunday
2020,12,13,16,2020-12-13,Sunday
2020,12,13,18,2020-12-13,Sunday
2020,12,13,18,2020-12-13,Sunday
2020,12,13,18,2020-12-13,Sunday
2020,12,13,18,2020-12-13,Sunday
2020,12,13,18,2020-12-13,Sunday
2020,12,13,20,2020-12-13,Sunday
2020,12,13,21,2020-12-13,Sunday
2020,12,13,23,2020-12-13,Sunday
2020,12,14,0,2020-12-14,Monday
2020,12,14,0,2020-12-14,Monday
2020,12,14,0,2020-12-14,Monday
2020,12,14,1,2020-12-14,Monday
2020,12,14,1,2020-12-14,Monday
2020,12,14,1,2020-12-14,Monday
2020,12,14,1,2020-12-14,Monday
2020,12,14,1,2020-12-14,Monday
2020,12,14,1,2020-12-14,Monday
2020,12,14,1,2020-12-14,Monday
2020,12,14,1,2020-12-14,Monday
2020,12,14,9,2020-12-14,Monday
2020,12,14,9,2020-12-14,Monday
2020,12,14,9,2020-12-14,Monday
2020,12,14,15,2020-12-14,Monday
2020,12,14,15,2020-12-14,Monday
2020,12,14,16,2020-12-14,Monday
2020,12,14,16,2020-12-14,Monday
2020,12,14,16,2020-12-14,Monday
2020,12,14,16,2020-12-14,Monday
2020,12,14,16,2020-12-14,Monday
2020,12,14,16,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,17,2020-12-14,Monday
2020,12,14,18,2020-12-14,Monday
2020,12,14,19,2020-12-14,Monday
2020,12,14,21,2020-12-14,Monday
2020,12,14,21,2020-12-14,Monday
2020,12,14,21,2020-12-14,Monday
2020,12,14,22,2020-12-14,Monday
2020,12,14,22,2020-12-14,Monday
2020,12,14,22,2020-12-14,Monday
2020,12,14,23,2020-12-14,Monday
2020,12,14,23,2020-12-14,Monday
2020,12,15,0,2020-12-15,Tuesday
2020,12,15,0,2020-12-15,Tuesday
2020,12,15,0,2020-12-15,Tuesday
2020,12,15,0,2020-12-15,Tuesday
2020,12,15,0,2020-12-15,Tuesday
2020,12,15,0,2020-12-15,Tuesday
2020,12,15,1,2020-12-15,Tuesday
2020,12,15,1,2020-12-15,Tuesday
2020,12,15,1,2020-12-15,Tuesday
2020,12,15,1,2020-12-15,Tuesday
2020,12,15,1,2020-12-15,Tuesday
